cust_age;policy_id;coverage_start_date;cust_region;sum_assured_group;ins_deductible;annual_prem;zip_code;insured_sex;edu_lvl;marital_status;claim_incurred_date;claim_type;acc_type;emg_services_notified;incident_city;incident_hour;num_vehicles_involved;property_damage;bodily_injuries;witnesses;police_report_avlbl;total_claim_amount;injury_claim;property_claim;vehicle_claim;car_brand;car_model;production_year
42;517580;23.06.1999;west;high;1000;1284.55;360532;F;md;married;22.01.2023;single vehicle collision;rear collision;Police;Northbend;14;1;NO;2;1;;75500;7550;15100;52850;Nissan;Ultima;2005
32;263826;12.12.2012;east;mid;2000;1622.93;354624;M;phd;unmarried;09.02.2023;single vehicle collision;side collision;Ambulance;Northbend;16;1;?;1;1;;78120;17360;8680;52080;BMW;3 Series;2013
37;592549;24.12.2019;east;mid;2000;1895.02;360863;F;phd;other;24.01.2023;multi-vehicle collision;rear collision;Fire;Columbus;17;3;YES;1;3;NO;54400;5440;10880;38080;Chevrolet;Silverado;2022
28;359430;19.03.1999;north;mid;500;1507.01;372782;F;jd;other;01.01.2023;multi-vehicle collision;rear collision;Police;Northbend;3;4;NO;0;1;;67800;11300;11300;45200;Ford;F150;2018
39;393600;07.07.2014;north;mid;2000;1279.18;508339;F;high school;unmarried;18.01.2023;parked car;;Police;Springfield;6;1;NO;0;2;NO;5920;740;740;4440;Chevrolet;Malibu;2022
40;560783;24.07.2017;west;low;1000;1437.45;344790;F;high school;other;01.01.2023;theft;;Police;Riverwood;9;1;?;0;0;NO;3690;410;410;2870;Ford;Escape;2022
55;490812;13.09.1998;east;mid;2000;1303.37;355450;M;md;married;08.01.2023;single vehicle collision;rear collision;Fire;Hillsdale;18;1;?;1;3;YES;36740;3340;6680;26720;BMW;X5;2005
42;284445;17.04.2015;west;low;2000;1385.81;370072;F;high school;other;18.01.2023;single vehicle collision;rear collision;Police;Columbus;19;1;NO;2;1;NO;86130;15660;15660;54810;Chevrolet;Silverado;2002
31;343110;16.02.2013;east;high;1000;1049.78;379792;F;associate;other;01.03.2023;multi-vehicle collision;side collision;Ambulance;Riverwood;18;3;YES;0;3;NO;34160;0;4270;29890;Audi;A5;2012
56;346064;12.10.1999;west;mid;1000;1593.39;379288;F;college;other;06.01.2023;multi-vehicle collision;side collision;Ambulance;Springfield;23;3;?;0;0;;38610;3510;3510;31590;Volkswagen;Passat;2014
39;87665;15.10.1999;north;high;2000;1473.84;377638;F;high school;other;22.02.2023;multi-vehicle collision;side collision;Police;Columbus;8;3;?;2;0;NO;60400;6040;6040;48320;Nissan;Pathfinder;2021
31;430403;14.06.1998;east;mid;1000;1375.34;340725;F;masters;unmarried;01.03.2023;multi-vehicle collision;side collision;Other;Hillsdale;1;3;?;2;1;;52290;5810;11620;34860;Nissan;Maxima;2004
39;499809;16.01.2004;north;mid;1000;1149.5;504523;F;masters;married;01.01.2023;parked car;;Police;Springfield;17;1;YES;0;0;;8700;870;1740;6090;Accura;RSX;2010
37;578836;29.05.2015;north;mid;2000;1240.08;330072;M;high school;other;05.01.2023;parked car;;None;Hillsdale;18;1;NO;1;0;NO;6700;670;670;5360;Jeep;Wrangler;2018
40;549735;23.04.1997;east;low;2000;1289.81;509805;F;jd;other;08.01.2023;single vehicle collision;side collision;Other;Northbend;21;1;NO;1;0;YES;69840;7760;15520;46560;Dodge;Neon;2016
44;121778;13.05.2004;east;high;500;1095.68;362804;M;phd;unmarried;28.02.2023;single vehicle collision;side collision;Other;Columbus;12;1;NO;1;0;YES;61700;6170;6170;49360;Saab;93;2012
30;394266;23.07.2016;east;low;500;801.47;335339;F;high school;married;25.02.2023;multi-vehicle collision;rear collision;Other;Springfield;15;3;?;0;0;YES;57000;0;11400;45600;Audi;A3;2020
32;159177;20.05.2015;east;low;500;1400.89;369351;F;phd;married;02.02.2023;single vehicle collision;rear collision;Ambulance;Northbrook;2;1;YES;0;1;;56070;6230;12460;37380;Toyota;Camry;2019
39;536571;10.06.2002;north;high;500;1357.47;350677;M;phd;married;08.02.2023;multi-vehicle collision;front collision;Other;Arlington;9;3;YES;2;2;YES;71610;13020;6510;52080;Toyota;Highlander;2019
37;554003;11.03.2022;east;high;500;1372.33;372103;F;md;other;19.01.2023;single vehicle collision;side collision;Other;Northbrook;19;1;YES;1;0;NO;72930;6630;13260;53040;Accura;TL;2022
43;440152;12.03.2018;north;low;1000;1481.36;365068;F;md;other;09.02.2023;multi-vehicle collision;front collision;Ambulance;Riverwood;3;3;NO;1;1;;70680;5890;11780;53010;Ford;Fusion;2016
36;581935;10.07.2014;east;mid;2000;1386.69;359090;F;md;other;13.02.2023;multi-vehicle collision;side collision;Police;Riverwood;17;3;?;1;3;YES;79560;13260;13260;53040;Ford;Escape;2016
33;308970;11.04.1997;west;low;2000;692.56;350671;F;jd;other;20.01.2023;multi-vehicle collision;side collision;Police;Northbend;6;3;?;0;1;YES;64350;5850;11700;46800;Nissan;Pathfinder;2018
31;215236;29.10.2018;north;mid;500;1237.33;376426;F;high school;other;30.01.2023;single vehicle collision;side collision;Fire;Springfield;12;1;YES;0;1;NO;89700;13800;13800;62100;Audi;A5;2016
50;335131;03.11.1998;east;low;2000;1107.08;331464;F;phd;other;14.01.2023;single vehicle collision;side collision;Other;Springfield;4;1;NO;2;2;YES;108030;16620;16620;74790;Saab;92x;2009
20;289338;21.05.2010;north;high;1000;1188.09;513295;F;high school;other;01.02.2023;single vehicle collision;side collision;Other;Columbus;22;1;NO;1;3;YES;48360;4030;8060;36270;Audi;A5;2007
30;213970;30.01.2012;north;low;1000;1340.13;508393;M;md;other;28.02.2023;parked car;;None;Arlington;8;1;YES;0;2;NO;4500;450;450;3600;Saab;93;2006
28;264572;28.01.2015;east;high;1000;984.64;372688;F;high school;other;16.02.2023;single vehicle collision;rear collision;Ambulance;Columbus;11;1;NO;0;2;YES;101860;18520;18520;64820;Honda;CRV;2014
30;239016;21.11.2016;north;low;500;1453.76;516674;F;college;married;15.02.2023;multi-vehicle collision;side collision;Fire;Hillsdale;6;3;?;2;3;NO;79800;15960;7980;55860;Honda;Civic;2006
34;505417;17.12.2006;east;low;1000;1039.47;348404;F;jd;married;26.01.2023;multi-vehicle collision;side collision;Other;Hillsdale;18;4;?;2;3;YES;74360;13520;13520;47320;Toyota;Highlander;2012
41;395509;15.02.2003;east;mid;1000;893.94;352565;F;associate;married;11.02.2023;single vehicle collision;rear collision;Ambulance;Arlington;10;1;NO;1;2;NO;30100;3010;0;27090;Chevrolet;Malibu;2006
48;314233;30.12.2021;east;mid;1000;1405.02;366100;M;md;married;25.01.2023;single vehicle collision;side collision;Police;Columbus;5;1;YES;1;2;YES;71610;6510;13020;52080;Saab;92x;2011
39;201002;25.02.2001;north;low;500;1360.98;358332;F;md;other;22.02.2023;multi-vehicle collision;front collision;Ambulance;Arlington;6;3;YES;2;2;NO;82320;13720;6860;61740;Dodge;Neon;2002
40;211077;20.08.2001;north;low;500;1925.98;509285;M;md;married;21.01.2023;single vehicle collision;front collision;Fire;Arlington;10;1;YES;0;1;;43280;0;5410;37870;Honda;Civic;2003
40;267935;10.12.2018;west;mid;2000;780.34;349189;M;college;other;06.02.2023;multi-vehicle collision;front collision;Ambulance;Springfield;0;3;?;0;2;NO;51570;5730;11460;34380;BMW;X5;2017
48;109287;28.09.2021;west;mid;1000;1385.46;377383;M;jd;other;04.02.2023;single vehicle collision;front collision;Fire;Hillsdale;16;1;NO;2;2;;61320;10220;10220;40880;BMW;M5;2005
43;311626;26.07.2008;east;low;2000;1350.42;365231;M;college;married;06.02.2023;single vehicle collision;front collision;Fire;Northbend;22;1;YES;0;3;YES;63840;10640;10640;42560;BMW;X5;2013
32;412074;28.01.2005;east;mid;2000;1104.95;364330;M;phd;married;07.01.2023;theft;;Police;Riverwood;21;1;YES;1;1;YES;5600;1120;560;3920;Subaru;Legacy;2012
36;527290;23.07.2019;east;low;1000;1116.69;360769;F;high school;married;22.01.2023;multi-vehicle collision;rear collision;Fire;Columbus;5;3;NO;2;1;NO;51700;5170;10340;36190;Saab;95;2010
44;581910;09.03.2005;west;mid;500;807.22;500176;M;jd;other;27.01.2023;multi-vehicle collision;side collision;Other;Springfield;4;3;?;2;1;YES;51400;5140;10280;35980;Honda;Civic;2003
57;407035;11.03.2007;north;high;1000;1130.58;334261;M;md;other;08.01.2023;multi-vehicle collision;front collision;Other;Northbend;21;3;?;2;3;;61440;10240;10240;40960;Saab;93;2015
34;358152;13.03.2019;west;mid;500;1297.29;363239;F;college;married;08.01.2023;single vehicle collision;front collision;Fire;Springfield;7;1;YES;2;1;YES;45540;8280;8280;28980;Honda;Civic;2005
32;135324;07.04.2009;west;mid;500;893.25;339932;M;jd;other;10.01.2023;single vehicle collision;front collision;Ambulance;Columbus;4;1;?;0;3;YES;43600;8720;4360;30520;Subaru;Legacy;2017
40;443411;16.04.2003;north;low;1000;881.42;334701;M;college;married;24.02.2023;single vehicle collision;rear collision;Other;Riverwood;6;1;NO;1;3;NO;77880;7080;14160;56640;Ford;Escape;2012
42;149411;02.12.2006;west;low;1000;967.61;364807;M;college;other;26.01.2023;theft;;None;Northbrook;10;1;NO;0;0;;5600;700;700;4200;Audi;A3;2014
42;552459;16.12.2007;west;mid;2000;1320.89;353245;M;phd;other;28.02.2023;parked car;;None;Springfield;9;1;NO;0;1;NO;5900;590;590;4720;BMW;X5;2014
49;79375;07.12.2008;west;mid;2000;1275.23;331821;F;phd;other;19.01.2023;single vehicle collision;rear collision;Ambulance;Hillsdale;18;1;?;0;2;YES;42240;7680;7680;26880;Chevrolet;Malibu;2014
41;169707;18.07.1998;east;high;2000;1606.45;366686;F;associate;other;16.02.2023;single vehicle collision;side collision;Other;Springfield;19;1;?;1;1;;71060;6460;12920;51680;Saab;92x;2017
43;452425;29.07.2008;east;mid;500;1482.02;331499;M;college;married;18.01.2023;multi-vehicle collision;rear collision;Ambulance;Arlington;17;3;NO;0;1;;70600;7060;14120;49420;Volkswagen;Passat;2020
25;142414;14.01.2022;west;mid;2000;1350.94;364927;M;masters;other;22.01.2023;multi-vehicle collision;rear collision;Other;Hillsdale;4;4;YES;1;2;YES;64890;7210;7210;50470;Nissan;Pathfinder;2020
33;179458;02.04.2004;west;mid;500;1360.98;345872;F;jd;other;24.02.2023;single vehicle collision;side collision;Other;Springfield;6;1;NO;2;0;;95810;14740;14740;66330;BMW;X5;2014
41;138324;03.07.2011;north;low;1000;1433.2;371487;F;college;other;11.01.2023;single vehicle collision;rear collision;Police;Northbrook;17;1;NO;2;0;;56610;6290;6290;44030;Chevrolet;Tahoe;2002
61;469990;09.09.2012;east;low;2000;1400.86;349525;M;jd;married;18.02.2023;multi-vehicle collision;rear collision;Police;Columbus;10;3;?;2;1;YES;72100;7210;14420;50470;Jeep;Wrangler;2013
43;307239;06.10.2002;east;low;1000;1277.24;515194;M;phd;other;06.02.2023;multi-vehicle collision;side collision;Ambulance;Springfield;5;3;?;1;2;YES;81070;7370;14740;58960;Audi;A3;2013
40;264711;23.02.2019;north;low;1000;1020.53;366129;M;phd;married;17.02.2023;single vehicle collision;front collision;Other;Northbend;13;1;YES;0;2;;71100;7110;14220;49770;Audi;A3;2015
41;175885;29.07.1997;north;low;500;949.67;355394;F;jd;married;08.02.2023;multi-vehicle collision;side collision;Police;Riverwood;3;3;NO;2;1;;98280;15120;7560;75600;Chevrolet;Tahoe;2014
52;225643;27.04.2010;north;high;500;1333.24;352615;F;high school;unmarried;07.01.2023;single vehicle collision;rear collision;Police;Northbend;13;1;YES;1;1;;54810;6090;6090;42630;Chevrolet;Silverado;2006
33;364050;01.05.2002;north;low;2000;1360.75;350300;F;jd;married;21.01.2023;single vehicle collision;side collision;Other;Columbus;11;1;YES;1;3;;81360;6780;13560;61020;Subaru;Legacy;2016
30;294104;22.09.2014;east;mid;1000;1171.36;342904;F;masters;married;25.02.2023;theft;;None;Arlington;3;1;NO;0;3;YES;4680;520;520;3640;Chevrolet;Malibu;2020
39;81940;18.02.2014;north;mid;2000;1486.13;500243;F;jd;other;25.02.2023;theft;;Police;Northbrook;9;1;YES;1;3;YES;5500;1100;550;3850;Chevrolet;Tahoe;2017
35;266959;19.09.2003;east;high;500;1052.94;346756;M;jd;married;25.02.2023;single vehicle collision;front collision;Fire;Northbend;17;1;YES;2;3;NO;88660;8060;16120;64480;Mercedes;C300;2014
39;297178;13.04.1999;north;mid;1000;768.87;333123;M;masters;married;18.02.2023;single vehicle collision;side collision;Police;Columbus;0;1;NO;0;2;;49800;9960;4980;34860;Mercedes;ML350;2022
39;392398;21.03.2018;west;low;500;1044.69;334950;M;md;married;24.01.2023;theft;;None;Hillsdale;1;1;?;2;1;NO;4950;450;900;3600;Chevrolet;Silverado;2017
29;66244;22.10.2009;east;low;500;1445.09;336528;M;md;other;11.02.2023;multi-vehicle collision;front collision;Ambulance;Arlington;11;3;YES;2;0;NO;57970;10540;5270;42160;Saab;93;2013
43;276579;18.09.2003;north;high;1000;1292.15;502638;F;masters;other;08.01.2023;single vehicle collision;rear collision;Fire;Riverwood;17;1;YES;2;3;YES;79320;13220;6610;59490;Nissan;Ultima;2004
21;123858;28.01.1999;north;high;1000;1340.83;345606;M;associate;married;10.02.2023;single vehicle collision;front collision;Other;Hillsdale;21;1;?;1;2;;62460;6940;6940;48580;Honda;Accord;2010
50;73573;02.05.2014;east;low;1000;1273.5;366251;M;associate;other;12.02.2023;single vehicle collision;front collision;Police;Riverwood;16;1;YES;2;3;NO;37280;0;0;37280;Audi;A5;2003
28;101620;10.04.2001;north;low;2000;1470.88;371334;M;associate;married;17.02.2023;single vehicle collision;front collision;Other;Springfield;0;1;?;2;1;;48290;8780;8780;30730;Nissan;Maxima;2002
40;72164;25.04.2005;east;low;500;1236.76;368670;F;high school;married;27.01.2023;theft;;Police;Springfield;5;1;YES;1;1;NO;7480;680;680;6120;Saab;95;2005
39;580743;09.10.2021;north;mid;1000;1300.51;503916;M;jd;unmarried;17.02.2023;multi-vehicle collision;rear collision;Ambulance;Hillsdale;12;3;NO;2;3;YES;36300;3300;9900;23100;Ford;Escape;2020
27;553207;11.09.2009;north;low;2000;1116.87;370834;F;college;other;26.02.2023;single vehicle collision;front collision;Fire;Northbrook;23;1;?;1;3;;61560;6840;6840;47880;Ford;Fusion;2015
36;488497;31.08.2007;west;mid;500;1151.6;332679;M;associate;other;22.02.2023;multi-vehicle collision;side collision;Other;Arlington;16;3;YES;1;0;YES;50500;10100;5050;35350;Accura;TL;2011
47;439002;12.12.1998;north;low;1000;1214.79;510957;F;masters;other;06.01.2023;theft;;Police;Columbus;8;1;NO;1;1;NO;2700;300;300;2100;Ford;F150;2020
27;430152;28.09.2011;north;mid;1000;1006.9;366659;F;masters;other;13.01.2023;theft;;Police;Columbus;19;1;NO;2;3;;4400;0;550;3850;Toyota;Camry;2007
29;474807;25.12.2009;east;mid;500;1302.46;517235;M;jd;other;08.02.2023;multi-vehicle collision;front collision;Ambulance;Columbus;6;3;NO;0;2;;75400;11600;11600;52200;Dodge;Neon;2012
35;559301;23.11.2009;west;low;2000;1115.53;346126;F;phd;other;14.02.2023;multi-vehicle collision;side collision;Fire;Hillsdale;23;3;NO;2;2;NO;53190;5910;11820;35460;Volkswagen;Jetta;2003
43;589260;16.08.2016;north;low;500;980.33;504247;F;jd;other;12.02.2023;single vehicle collision;front collision;Fire;Riverwood;18;1;?;1;0;;75400;15080;7540;52780;Honda;CRV;2018
30;572208;21.09.2009;north;mid;2000;1614.69;347947;M;jd;married;04.02.2023;multi-vehicle collision;rear collision;Other;Hillsdale;13;3;YES;0;3;YES;63600;6360;12720;44520;Dodge;RAM;2017
62;353102;12.09.2007;west;low;500;1010.03;368136;M;phd;married;15.02.2023;multi-vehicle collision;rear collision;Fire;Riverwood;7;3;YES;0;3;;64350;7150;7150;50050;Chevrolet;Tahoe;2016
42;106858;29.01.2012;north;low;1000;1021.22;376098;F;md;other;06.02.2023;multi-vehicle collision;rear collision;Other;Northbend;13;3;NO;1;2;YES;58850;10700;10700;37450;Accura;MDX;2006
39;375471;01.08.2000;west;mid;2000;1468.17;331651;M;phd;married;07.01.2023;single vehicle collision;front collision;Ambulance;Riverwood;22;1;YES;0;1;NO;65790;7310;7310;51170;Saab;93;2014
37;146219;12.04.2017;west;mid;1000;2045.7;339237;F;md;other;09.01.2023;single vehicle collision;rear collision;Other;Columbus;2;1;?;0;3;NO;79530;14460;7230;57840;Accura;MDX;2007
55;579538;25.06.1998;east;high;500;1458.1;345824;F;md;married;12.01.2023;single vehicle collision;rear collision;Fire;Northbrook;8;1;YES;1;2;YES;60600;12120;6060;42420;Accura;TL;2018
55;592251;27.06.2000;west;high;2000;993.67;364633;M;jd;other;07.02.2023;multi-vehicle collision;side collision;Police;Northbend;23;3;YES;1;1;YES;88400;17680;8840;61880;Nissan;Pathfinder;2017
48;403367;18.10.2006;north;low;500;1514.45;374135;F;jd;unmarried;04.01.2023;multi-vehicle collision;rear collision;Police;Springfield;11;4;YES;0;2;NO;59400;13200;6600;39600;Saab;93;2003
48;379417;22.02.2013;west;mid;500;1409.54;364842;M;masters;other;16.01.2023;single vehicle collision;front collision;Ambulance;Riverwood;17;1;YES;2;1;NO;59400;5940;11880;41580;Honda;Civic;2021
53;444950;22.02.2022;north;mid;500;765.25;366169;M;associate;other;14.01.2023;parked car;;Police;Columbus;8;1;NO;0;1;NO;8800;1760;880;6160;Subaru;Legacy;2009
28;262752;25.09.2020;east;mid;1000;1572.04;361887;M;college;other;07.01.2023;multi-vehicle collision;side collision;Police;Springfield;20;3;YES;0;2;;65040;10840;10840;43360;Subaru;Impreza;2017
29;447280;17.01.2018;east;high;1000;1876.55;350714;M;high school;married;20.02.2023;single vehicle collision;rear collision;Fire;Riverwood;2;1;NO;0;0;;59070;5370;5370;48330;Chevrolet;Malibu;2010
42;558865;18.05.2010;north;low;500;1091.94;368422;M;associate;other;21.02.2023;multi-vehicle collision;side collision;Ambulance;Springfield;18;3;?;1;1;NO;53280;4440;8880;39960;Subaru;Impreza;2022
38;168935;09.01.2021;east;high;500;974.78;371568;F;phd;unmarried;21.01.2023;single vehicle collision;rear collision;Fire;Northbrook;16;1;?;1;2;;72200;14440;7220;50540;BMW;M5;2020
26;157953;03.06.2004;west;high;2000;930.25;512518;M;md;other;10.01.2023;multi-vehicle collision;rear collision;Fire;Columbus;2;3;NO;2;3;NO;78650;14300;7150;57200;Audi;A3;2003
39;360700;10.01.1999;north;low;500;1556.4;356749;F;masters;unmarried;16.02.2023;theft;;Police;Springfield;5;1;YES;1;2;;7700;770;1540;5390;Saab;93;2007
45;486408;19.04.1998;west;high;1000;1357.02;351438;M;masters;unmarried;09.01.2023;theft;;Police;Northbend;4;1;NO;0;2;;7370;670;1340;5360;Subaru;Impreza;2004
39;213955;01.07.2014;north;mid;1000;1414.19;512514;F;jd;other;27.01.2023;single vehicle collision;rear collision;Ambulance;Northbrook;16;1;YES;0;3;;45180;5020;5020;35140;Honda;CRV;2011
46;560540;19.11.2012;north;low;1000;1240.13;501929;M;masters;married;08.02.2023;single vehicle collision;front collision;Fire;Hillsdale;17;1;YES;0;2;YES;74900;14980;7490;52430;Jeep;Grand Cherokee;2010
32;543796;26.09.2004;north;mid;500;1156.14;334215;M;high school;other;08.01.2023;multi-vehicle collision;rear collision;Police;Riverwood;23;3;YES;1;3;YES;63570;9780;9780;44010;Volkswagen;Jetta;2013
30;410173;05.06.2014;north;high;1000;1345.15;330633;M;high school;other;22.01.2023;parked car;;None;Northbend;6;1;?;1;2;YES;6480;540;1080;4860;Honda;Civic;2003
36;128229;18.03.2003;west;high;1000;1234.43;516897;F;md;other;10.01.2023;single vehicle collision;side collision;Police;Northbrook;0;1;NO;2;0;NO;61050;5550;11100;44400;Dodge;Neon;2016
43;531670;25.02.2022;east;low;500;1201.28;355778;F;md;unmarried;06.02.2023;single vehicle collision;rear collision;Fire;Hillsdale;11;1;NO;0;0;;63250;11500;5750;46000;Nissan;Ultima;2004
36;442788;21.01.2017;north;low;500;1531.18;509304;M;jd;other;20.01.2023;single vehicle collision;rear collision;Police;Springfield;13;1;YES;1;2;YES;58500;0;6500;52000;Ford;Escape;2008
36;153556;05.10.2016;west;high;500;1623.56;507420;F;md;other;23.01.2023;single vehicle collision;front collision;Ambulance;Northbrook;11;1;NO;2;1;NO;76560;12760;12760;51040;Ford;Fusion;2015
43;394754;30.08.2013;west;mid;2000;970.58;341949;M;college;married;01.02.2023;multi-vehicle collision;front collision;Police;Hillsdale;15;3;YES;2;2;YES;77100;7710;15420;53970;Audi;A3;2017
63;512483;11.09.2016;west;mid;1000;1290.41;379692;M;high school;other;21.02.2023;parked car;;None;Northbend;5;1;YES;1;3;NO;4700;940;470;3290;Dodge;Neon;2014
31;430239;07.02.2002;west;low;2000;1016.84;369614;M;associate;other;27.01.2023;multi-vehicle collision;side collision;Police;Riverwood;21;3;YES;1;2;;93730;14420;21630;57680;Honda;CRV;2008
36;386389;11.06.2002;east;mid;500;1863.94;336141;M;college;unmarried;11.02.2023;single vehicle collision;rear collision;Police;Hillsdale;17;1;?;2;1;YES;47300;4300;8600;34400;Volkswagen;Jetta;2013
42;327448;08.08.2009;east;low;500;1251.23;362251;F;masters;other;06.01.2023;single vehicle collision;front collision;Police;Northbend;22;1;YES;2;2;;87010;7910;15820;63280;Ford;F150;2009
57;110752;05.09.2007;east;high;2000;1421.06;508950;M;jd;married;17.01.2023;multi-vehicle collision;rear collision;Other;Columbus;15;3;NO;1;3;NO;66240;11040;11040;44160;Nissan;Maxima;2010
55;318237;06.03.2020;north;high;2000;1387.24;356171;M;jd;married;17.02.2023;theft;;None;Northbrook;6;1;?;0;2;;9000;900;1800;6300;Mercedes;ML350;2022
36;408904;27.10.2006;west;high;2000;1316.35;501716;F;college;other;30.01.2023;parked car;;None;Arlington;9;1;NO;0;1;YES;4700;940;470;3290;Dodge;Neon;2009
25;546451;02.05.2007;west;mid;1000;952.27;373296;M;masters;married;18.01.2023;multi-vehicle collision;side collision;Ambulance;Columbus;22;4;NO;0;0;;75600;12600;12600;50400;Toyota;Corolla;2012
24;290724;30.08.2018;north;high;2000;1548.64;335600;F;md;other;01.02.2023;parked car;;None;Hillsdale;20;1;YES;0;1;;3960;660;660;2640;Audi;A3;2005
38;215343;24.05.2017;west;low;500;1004.88;378140;F;college;other;06.02.2023;multi-vehicle collision;side collision;Police;Northbend;15;3;YES;2;1;YES;70900;14180;7090;49630;BMW;X6;2004
29;233139;09.08.2009;west;mid;500;1379.99;333121;M;high school;other;21.02.2023;theft;;Police;Hillsdale;4;1;NO;0;2;;4200;840;420;2940;Jeep;Wrangler;2015
26;217744;04.12.2012;north;low;500;1283.14;357910;F;high school;unmarried;03.02.2023;single vehicle collision;rear collision;Fire;Riverwood;0;1;NO;1;3;;52200;5220;10440;36540;Honda;CRV;2018
28;568004;05.10.1999;east;high;1000;1072.58;365169;M;md;married;13.02.2023;parked car;;Police;Riverwood;4;1;?;2;0;;3200;400;400;2400;Jeep;Grand Cherokee;2019
